City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,porto seguro,-16.4497,-39.0647,297.44,88,0,1.54,BR,1731376154
348,santa ana,33.7456,-117.8678,290.14,74,20,2.57,US,1731376446
349,dolores,-36.3132,-57.6792,285.68,60,74,4.06,AR,1731376447
350,salcininkai,54.3,25.3833,273.48,82,16,1.64,LT,1731376448
351,benguela,-12.5763,13.4055,297.48,80,100,2.53,AO,1731376449
352,ciudad del maiz,22.4,-99.6,289.93,94,42,2.18,MX,1731376450
353,siwa oasis,29.2041,25.5195,290.55,53,74,2.49,EG,1731376451
354,thunder bay,48.4001,-89.3168,271.14,80,0,2.57,CA,1731376326
355,sola,-13.8833,167.55,300.22,72,94,7.38,VU,1731376454
356,carnarvon,-24.8667,113.6333,297.95,48,93,9.05,AU,1731376455
357,fonte boa,-2.4959,-66.2662,299.23,74,100,0.19,BR,1731376456
358,mogok,22.9167,96.5,292.06,77,6,1.15,MM,1731376457
359,hithadhoo,-0.6,73.0833,301.66,73,95,6.85,MV,1731376458
360,sade,11.3595,10.6732,294.86,33,5,3.23,NG,1731376459
361,kamakwie,9.5,-12.2333,296.02,67,34,0.5,SL,1731376460
362,fuerte olimpo,-21.0415,-57.8738,303.67,32,100,2.26,PY,1731376461
